id,uuid,title,image_url,liked_count,passed_count,description,photo_type,priority,architect_id,house_id,created_at,updated_at
15,10001014,和室,accfb28a72.jpg,123,34,ちいさな予備室です。大人2人展度が宿泊できるようにスペースをとりました。,,0,,1,2016-10-17 17:16:23.909869,2016-10-17 17:16:23.917360
16,10001015,浴室,dceee79858.jpg,123,34,中庭に小窓のある浴室です。隣地の高層マンションなどからプライバシーを守りつつ中庭に開いた窓を持ちます。,,0,,1,2016-10-17 17:16:23.924452,2016-10-17 17:16:23.930444
17,10001016,中庭見下ろし,f4f3b75dda.jpg,123,34,中庭みおろしです。予備室、浴室の窓が面しています。,,0,,1,2016-10-17 17:16:23.937404,2016-10-17 17:16:23.949872
18,10001017,1階を見下ろす,b4fzf814ae.jpg,123,34,スキップフロアの中間階から1階を見下ろします。,,0,,1,2016-10-17 17:16:23.956962,2016-10-17 17:16:23.964115
19,10002018,外観夜景,3e8a53485f.jpg,123,34,,,0,,2,2016-10-17 17:16:23.970786,2016-10-17 17:16:23.979647
20,10002019,外観,39d28d1198.jpg,123,34,斜めの壁の内側は光庭になっていて、寝室や浴室、予備室が面しておかれ、外部からの視線が入らない。,,0,,2,2016-10-17 17:16:23.985639,2016-10-17 17:16:23.996179
21,10002020,玄関アプローチ,73ae5cf6ze.jpg,123,34,玄関ドアは木製の製作品。袖のFIXには照明、表札、ポストを備える,,0,,2,2016-10-17 17:16:24.001933,2016-10-17 17:16:24.008959
22,10002021,墨モルタルの玄関ホール,5636296da9.jpg,123,34,玄関土間の右には予備室が面し、正面には2階リビングへの階段がある。,,0,,2,2016-10-17 17:16:24.016335,2016-10-17 17:16:24.022482
23,10002022,玄関横の予備室,fd6f234d2a.jpg,123,34,玄関横の予備室は畳を敷いた和室。,,0,,2,2016-10-17 17:16:24.029983,2016-10-17 17:16:24.037067
24,10002023,1階,z456918dca.jpg,123,34,1階は寝室、予備室、収納室、サニタリーがある白い空間です,,0,,2,2016-10-17 17:16:24.044055,2016-10-17 17:16:24.050016
25,10002024,寝室,8a383df4d4.jpg,123,34,ベッドルームの窓は目隠し壁をつくり光庭から採光しています。,,0,,2,2016-10-17 17:16:24.056933,2016-10-17 17:16:24.064871
26,10002025,階段,353e8c1a98.jpg,123,34,スキップフロアをあがる階段は最上階から光を玄関へ落とす。,,0,,2,2016-10-17 17:16:24.070903,2016-10-17 17:16:24.080014
27,10002026,床下納戸,1ee3zdze2f.jpg,123,34,1階と2階の間には高さ1.4m未満の収納室がある,,0,,2,2016-10-17 17:16:24.086916,2016-10-17 17:16:24.093633
28,10002027,床下収納,d99cz8d2f8.jpg,123,34,1階と2階の間にある床下収納です。,,0,,2,2016-10-17 17:16:24.103259,2016-10-17 17:16:24.110535
29,10002028,子供室,173faz76dd.jpg,123,34,子供室はスキップフロアを生かして、2階のリビングから半層下がった場所にあります。,,0,,2,2016-10-17 17:16:24.117962,2016-10-17 17:16:24.126117
30,10002029,デザインされた階段,caazeeded1.jpg,123,34,階段を上がると屋上リビングと子供室、リビングダイニングキッチンが現れる。,,0,,2,2016-10-17 17:16:24.133673,2016-10-17 17:16:24.141041
31,10002030,屋上バルコニーを見上げるLDK,z63e9z8594.jpg,123,34,リビングダイニングからは半層上がった屋上光庭バルコニーから採光する。,,0,,2,2016-10-17 17:16:24.149743,2016-10-17 17:16:24.157325
32,10002031,製作キッチン,6e3b1d4126.jpg,123,34,アイランドキッチンには伸縮式のテーブルを一体的にデザインして作り付けました。,,0,,2,2016-10-17 17:16:24.164501,2016-10-17 17:16:24.171430
33,10002032,キッチン造作テーブル,2eb86z5f2d.jpg,123,34,折りたたみ式のテーブルを綴じたところ。,,0,,2,2016-10-17 17:16:24.179402,2016-10-17 17:16:24.185943
34,10002033,キッチンからバルコニーを見る,2ba4af2b54.jpg,123,34,キッチンから半層上がった屋上バルコニーを見上げます。,,0,,2,2016-10-17 17:16:24.193140,2016-10-17 17:16:24.204106
35,10002034,壁に囲まれた屋上バルコニー,z696bc3ce4.jpg,123,34,屋上バルコニーはリビングから半層上がった位置にあり、使いやすい位置にあります。また壁で囲まれているため、隣家の目がきにならず、子供達の様子もLDKから見届けられる安心できる場所です。,,0,,2,2016-10-17 17:16:24.210835,2016-10-17 17:16:24.218615
36,10003035,夜景外観,34m6EO7H2a.jpg,123,34,,,0,,3,2016-10-17 17:16:24.226020,2016-10-17 17:16:24.233687
37,10003036,壁面本棚には子供達の本を,NFGFv34ac4.jpg,123,34,,,0,,3,2016-10-17 17:16:24.240849,2016-10-17 17:16:24.248430
38,10003037,子供室2,SV047GwyrQ.jpg,123,34,,,0,,3,2016-10-17 17:16:24.254780,2016-10-17 17:16:24.262529
39,10003038,子供室,Sh2As12e3b.jpg,123,34,,,0,,3,2016-10-17 17:16:24.272037,2016-10-17 17:16:24.279882
40,10003039,歯磨きコーナー,ePSPnoF80T.jpg,123,34,勉強カウンター奥にはトイレと歯磨き洗面台,,0,,3,2016-10-17 17:16:24.285883,2016-10-17 17:16:24.293732
41,10003040,勉強カウンター,SPccFrrKke.jpg,123,34,3人の子供達の勉強机,,0,,3,2016-10-17 17:16:24.300818,2016-10-17 17:16:24.309950
42,10003041,家事室,g8HbYsM28D.jpg,123,34,ものほしベランダに面した家事室。,,0,,3,2016-10-17 17:16:24.317268,2016-10-17 17:16:24.325002
43,10003042,階段,vEBxvPKBeK.jpg,123,34,,,0,,3,2016-10-17 17:16:24.332482,2016-10-17 17:16:24.339084
44,10003043,中間階納戸,GykPfe5TNt.jpg,123,34,,,0,,3,2016-10-17 17:16:24.345493,2016-10-17 17:16:24.353359
45,10003044,階段吹抜見下ろし,UXUQKB3GRQ.jpg,123,34,,,0,,3,2016-10-17 17:16:24.360804,2016-10-17 17:16:24.368051
46,10003045,キッチン,R82Rdd5pZF.jpg,123,34,アイランド式キッチン,,0,,3,2016-10-17 17:16:24.374051,2016-10-17 17:16:24.384229
47,10003046,階段横には登り棒,Ht9GUfEynB.jpg,123,34,,,0,,3,2016-10-17 17:16:24.389897,2016-10-17 17:16:24.397545
48,10003047,LDK,XeVNHdVgN0.jpg,123,34,アイランド式のキッチン,,0,,3,2016-10-17 17:16:24.408500,2016-10-17 17:16:24.414784
49,10003048,天井の高いリビング,Kq05aebMzv.jpg,123,34,天井高さは3.6m,,0,,3,2016-10-17 17:16:24.422078,2016-10-17 17:16:24.429664
50,10003049,階段吹抜,G8Zq6XD8Xi.jpg,123,34,建物の中心を貫く吹抜戸階段。,,0,,3,2016-10-17 17:16:24.436699,2016-10-17 17:16:24.443476
51,10003050,玄関土間,FpPsh8zz5r.jpg,123,34,アトリエのボリュームの廻りをぐるりと廻ることができ向こう側は子供達用の散らせる玄関、写真側は大人の玄関,,0,,3,2016-10-17 17:16:24.449754,2016-10-17 17:16:24.458621
52,10003051,玄関とアトリエ,tHlJe6Bkkb.jpg,123,34,玄関を入ると大開口窓に面した布アトリエのスペース,,0,,3,2016-10-17 17:16:24.465720,2016-10-17 17:16:24.473151
53,10003052,ポーチ,2yKYYc2ZFB.jpg,123,34,,,0,,3,2016-10-17 17:16:24.480305,2016-10-17 17:16:24.488847
54,10003053,外観,5EMSi7iXR6.jpg,123,34,大窓のある外観,,0,,3,2016-10-17 17:16:24.494657,2016-10-17 17:16:24.502689
55,10004054,外観,1nx5YkGjg4.jpg,123,34,白いハコを組み合わせたようなシンプルな外観,,0,,4,2016-10-17 17:16:24.514021,2016-10-17 17:16:24.521305
56,10004055,外観,naIyOCCILs.jpg,123,34,,,0,,4,2016-10-17 17:16:24.528783,2016-10-17 17:16:24.536430
57,10004056,親世帯玄関アプローチ,TpXnUWmsGv.jpg,123,34,,,0,,4,2016-10-17 17:16:24.542721,2016-10-17 17:16:24.550321
58,10004057,親世帯玄関,B44BMAkVoE.jpg,123,34,親世帯の居間です。,,0,,4,2016-10-17 17:16:24.557254,2016-10-17 17:16:24.565674
59,10004058,親世帯居間,tdaEU4T8Qj.jpg,123,34,大きな窓は高めの配置として、外の通行人からは見えない高さに。,,0,,4,2016-10-17 17:16:24.573164,2016-10-17 17:16:24.580782
60,10004059,親世帯居間,,123,34,テレビのための収納を造作で作り付けました。,,0,,4,2016-10-17 17:16:24.589958,2016-10-17 17:16:24.597251
61,10004060,母のキッチン,eKZIwJ9NkX.jpg,123,34,母のキッチンはシンプルなi型です。,,0,,4,2016-10-17 17:16:24.604228,2016-10-17 17:16:24.610300
62,10004061,親世帯寝室,4fbHTeeLps.jpg,123,34,左はサニタリー、右は収納。正面は押し入れと仏壇置き場です。,,0,,4,2016-10-17 17:16:24.620337,2016-10-17 17:16:24.628280
63,10004062,親世帯寝室,YxtGt2KanJ.jpg,123,34,,,0,,4,2016-10-17 17:16:24.634487,2016-10-17 17:16:24.641958
64,10004063,子世帯の玄関,lxtMKrgAOe.jpg,123,34,子世帯の玄関アプローチです。,,0,,4,2016-10-17 17:16:24.648948,2016-10-17 17:16:24.656151
65,10004064,子世帯玄関からの階段,RrDD3xSads.jpg,123,34,,,0,,4,2016-10-17 17:16:24.661865,2016-10-17 17:16:24.668949
66,10004065,廊下収納,JfHWy4GlYT.jpg,123,34,廊下のすべてを収納に壁面収納を設置。寝室の外にまとめて収納します。,,0,,4,2016-10-17 17:16:24.674709,2016-10-17 17:16:24.682421
67,10004066,ハーフユニットバスのサニタリー,j0qdXuQmXo.jpg,123,34,ハーフユニットバスを利用した浴室。,,0,,4,2016-10-17 17:16:24.690889,2016-10-17 17:16:24.698139
68,10004067,子世帯サニタリー,tJMCUe6GAa.jpg,123,34,,,0,,4,2016-10-17 17:16:24.705102,2016-10-17 17:16:24.712501
69,10004068,子世帯リビングへの階段,hicjnKNTcv.jpg,123,34,白い階段を抜けると3階のリビングです。,,0,,4,2016-10-17 17:16:24.722576,2016-10-17 17:16:24.729892
70,10004069,ルーフバルコニーへの_がり,pgTX3Dptym.jpg,123,34,,,0,,4,2016-10-17 17:16:24.737566,2016-10-17 17:16:24.744966
71,10004070,ルーフバルコニー,wg8bruLm3D.jpg,123,34,桜のある広場を見下ろすルーフバルコニー,,0,,4,2016-10-17 17:16:24.750799,2016-10-17 17:16:24.758094
72,10004071,子世帯リビングダイニング,JQ25xtvsIz.jpg,123,34,ハイサイドライト窓は隣家を見せずに空だけを切り取ります。,,0,,4,2016-10-17 17:16:24.764970,2016-10-17 17:16:24.772242
73,10004072,アイランド式のオーダーキッチン,dgxMJsqVXN.jpg,123,34,ダイニングテーブル一体式のアイランドキッチンです。,,0,,4,2016-10-17 17:16:24.777999,2016-10-17 17:16:24.785265
74,10004073,子世帯リビング夜景,xzEblAUyR3.jpg,123,34,間接照明のある子世帯リビング,,0,,4,2016-10-17 17:16:24.793521,2016-10-17 17:16:24.800716
75,10005074,外観,puzsUDcvnO.jpg,123,34,白いハコ型の外観です。　,,0,,5,2016-10-17 17:16:24.806747,2016-10-17 17:16:24.814254
76,10005075,アプローチ,vzDMWJch8E.jpg,123,34,,,0,,5,2016-10-17 17:16:24.824182,2016-10-17 17:16:24.830068
77,10005076,仕事室,SwOb5dODai.jpg,123,34,,,0,,5,2016-10-17 17:16:24.837099,2016-10-17 17:16:24.844412
78,10005077,仕事室,lU3q4JAJCn.jpg,123,34,仕事室,,0,,5,2016-10-17 17:16:24.850767,2016-10-17 17:16:24.858318
79,10005078,仕事室,plhm5plps7.jpg,123,34,,,0,,5,2016-10-17 17:16:24.865368,2016-10-17 17:16:24.877260
80,10005079,玄関ホール,EbDWj0yRks.jpg,123,34,左の黒のドアが玄関ドア。右の開口をくぐって黒の箱の中に入ると寝室,,0,,5,2016-10-17 17:16:24.884174,2016-10-17 17:16:24.891664
81,10005080,洗面スペース,99GJ4wdDs1.jpg,123,34,,,0,,5,2016-10-17 17:16:24.897570,2016-10-17 17:16:24.904841
82,10005081,サニタリー,4vSJ0ATOBq.jpg,123,34,黒の箱の裏側は置きバス式のサニタリー,,0,,5,2016-10-17 17:16:24.912538,2016-10-17 17:16:24.918680
83,10005082,寝室の外のサンルーム空間,ICi7mByjTZ.jpg,123,34,寝室の開口と外壁窓の間には60センチほどの廊下があり、洗濯物干しや、隣家とのバッファゾーンの役割を負います。,,0,,5,2016-10-17 17:16:24.928186,2016-10-17 17:16:24.934234
84,10005083,寝室からの借景,xfAVPtyWN1.jpg,123,34,,,0,,5,2016-10-17 17:16:24.941107,2016-10-17 17:16:24.948708
85,10005084,寝室,BTEvH9N1xk.jpg,123,34,生活時間のちがうご夫婦のために寝室の中は小さく2部屋に区切られています。,,0,,5,2016-10-17 17:16:24.954715,2016-10-17 17:16:24.961936
86,10005085,玄関から見上げ,OgpJjqXirK.jpg,123,34,玄関から見上げた階段の様子です。,,0,,5,2016-10-17 17:16:24.969834,2016-10-17 17:16:24.977155
87,10005086,階段,IfnzSD6ksL.jpg,123,34,白と黒と深い木目の仕上げ。,,0,,5,2016-10-17 17:16:24.984267,2016-10-17 17:16:24.990308
88,10005087,2階ダイニング,sTTNuiknwv.jpg,123,34,床の隙間から1階の仕事室の上部を見通せます。,,0,,5,2016-10-17 17:16:24.997817,2016-10-17 17:16:25.005045
89,10005088,スキップフロアのダイニング,NEU20eY0Nj.jpg,123,34,ダイニングの床は白のビニル床タイル貼り。数段上がったリビングの木目との違いをだしました。,,0,,5,2016-10-17 17:16:25.010828,2016-10-17 17:16:25.017826
90,10005089,スキップフロアのリビング,6AlApwTebk.jpg,123,34,ダイニングから黒い階段を数段あがるとリビングです。,,0,,5,2016-10-17 17:16:25.028469,2016-10-17 17:16:25.034500
91,10005090,リビングとルーフバルコニー,GwUoFOz72Y.jpg,123,34,ダイニングの上にはルーフバルコニーがあります。,,0,,5,2016-10-17 17:16:25.041504,2016-10-17 17:16:25.048825
92,10005091,ウオールナットの床のリビング,fTtPaiOEru.jpg,123,34,リビングの床はウオールナットのフローリング,,0,,5,2016-10-17 17:16:25.054679,2016-10-17 17:16:25.061828
93,10005092,透明床,ngmTHDeory.jpg,123,34,1階からダイニングへ登り切った踊り場の床は透明なポリカーボネート板になっています。,,0,,5,2016-10-17 17:16:25.068940,2016-10-17 17:16:25.074918
94,10005093,キッチン,rVzgPZt8F1.jpg,123,34,キッチンは天板をステンレスとしたシンプルなオーダーキッチンです。,,0,,5,2016-10-17 17:16:25.082386,2016-10-17 17:16:25.089399
95,20001094,外観,64fedabae8.jpg,123,34,,,0,,6,2016-10-17 17:16:25.097966,2016-10-17 17:16:25.105417
96,20001095,夜景,79f483z8fc.jpg,123,34,,,0,,6,2016-10-17 17:16:25.112893,2016-10-17 17:16:25.118785
97,20001096,ダイニング夜景,a79d316fd4.jpg,123,34,,,0,,6,2016-10-17 17:16:25.125578,2016-10-17 17:16:25.134366
98,20001097,寝室,zb67bfabeb.jpg,123,34,,,0,,6,2016-10-17 17:16:25.141217,2016-10-17 17:16:25.148289
99,20001098,浴室,c89z527958.jpg,123,34,,,0,,6,2016-10-17 17:16:25.153899,2016-10-17 17:16:25.161293
100,20001099,洗面所,1c564f64a2.jpg,123,34,,,0,,6,2016-10-17 17:16:25.168463,2016-10-17 17:16:25.174515
101,20001100,ダイニングキッチン,ced63dfz5b.jpg,123,34,,,0,,6,2016-10-17 17:16:25.181435,2016-10-17 17:16:25.189038
102,20001101,リビングダイニング,e6c2f9b93z.jpg,123,34,,,0,,6,2016-10-17 17:16:25.197392,2016-10-17 17:16:25.204672
103,20001102,リビングダイニング,3f8314d8fe.jpg,123,34,,,0,,6,2016-10-17 17:16:25.210259,2016-10-17 17:16:25.217655
104,20001103,ダイニングキッチン,846fzbfe11.jpg,123,34,,,0,,6,2016-10-17 17:16:25.224524,2016-10-17 17:16:25.233385
105,20001104,リビングダイニング,1zf9976a47.jpg,123,34,,,0,,6,2016-10-17 17:16:25.240373,2016-10-17 17:16:25.246919
106,20001105,キッチン,776e7f94c5.jpg,123,34,,,0,,6,2016-10-17 17:16:25.253851,2016-10-17 17:16:25.260795
107,20001106,ダイニングキッチン,fz5f2388a9.jpg,123,34,,,0,,6,2016-10-17 17:16:25.266503,2016-10-17 17:16:25.273577
108,20001107,玄関,5ezaa1afz2.jpg,123,34,,,0,,6,2016-10-17 17:16:25.280564,2016-10-17 17:16:25.286477
109,20001108,玄関,6d4aad441e.jpg,123,34,,,0,,6,2016-10-17 17:16:25.293638,2016-10-17 17:16:25.303299
110,20001109,玄関,f6b12b2d8e.jpg,123,34,,,0,,6,2016-10-17 17:16:25.309215,2016-10-17 17:16:25.316575
111,20001110,ポーチ,36z438d8bb.jpg,123,34,,,0,,6,2016-10-17 17:16:25.322309,2016-10-17 17:16:25.329491
112,20001111,外観,1z3b1cb4z8.jpg,123,34,,,0,,6,2016-10-17 17:16:25.338953,2016-10-17 17:16:25.346109
113,20001112,外観,54d75ce7z2.jpg,123,34,,,0,,6,2016-10-17 17:16:25.352966,2016-10-17 17:16:25.360721
114,20001113,外観,df8e479437.jpg,123,34,,,0,,6,2016-10-17 17:16:25.366732,2016-10-17 17:16:25.373918
115,20002114,リビング夜景,wnn6rrdCkM.jpg,123,34,アーティチョークが印象に残るリビングスペース。,,0,,7,2016-10-17 17:16:25.380769,2016-10-17 17:16:25.389231
116,20002115,洗面浴室,0lSU7Lk7mb.jpg,123,34,洗面と浴室の仕切りをガラスにして、広がりをもたせている。,,0,,7,2016-10-17 17:16:25.396367,2016-10-17 17:16:25.404315
117,20002116,書斎,ahxtCoBbLL.jpg,123,34,色を使いながらも落ち着いた雰囲気の書斎,,0,,7,2016-10-17 17:16:25.410489,2016-10-17 17:16:25.418595
118,20002117,キッチン,0cz437aTzh.jpg,123,34,,,0,,7,2016-10-17 17:16:25.425925,2016-10-17 17:16:25.433272
119,20002118,ダイニングキッチン,A6ULTpZBRo.jpg,123,34,機能性に優れたキッチン収納,,0,,7,2016-10-17 17:16:25.442860,2016-10-17 17:16:25.449133
120,20002119,リビングダイニング,IfikQ8ynaP.jpg,123,34,,,0,,7,2016-10-17 17:16:25.456087,2016-10-17 17:16:25.462135
121,20002120,玄関,ka4Rx5Pr7h.jpg,123,34,ドアの横には、ガラスを入れ採光を取り込んだ。,,0,,7,2016-10-17 17:16:25.469400,2016-10-17 17:16:25.477570
122,20002121,外観,W5bMveIrpo.jpg,123,34,浅間山を望むファサード,,0,,7,2016-10-17 17:16:25.484290,2016-10-17 17:16:25.490499
123,20003122,外観夜景,81CAPew1gc.jpg,123,34,,,0,,8,2016-10-17 17:16:25.497732,2016-10-17 17:16:25.506313
124,20003123,リビング夜景,LGwn0XT1rg.jpg,123,34,薪ストーブを見ながら至福の時を過ごす。,,0,,8,2016-10-17 17:16:25.513286,2016-10-17 17:16:25.520408
125,20003124,リビング,OZPq2WWaFT.jpg,123,34,間接照明でラグジュアリー感を出したリビング。,,0,,8,2016-10-17 17:16:25.526167,2016-10-17 17:16:25.534078
126,20003125,子供部屋,AlsOCWb1FV.jpg,123,34,子供部屋は天井の高さを利用して、ベッドをロフトのようにつくっている。またベッドには登り棒で登り、雲梯までついている。子供には楽しいスペース。,,0,,8,2016-10-17 17:16:25.544159,2016-10-17 17:16:25.550297
127,20003126,和室,0DBkrw1tn6.jpg,123,34,和室というより畳みスペース。,,0,,8,2016-10-17 17:16:25.557512,2016-10-17 17:16:25.564893
128,20003127,吹き抜け,jUB36w8JWA.jpg,123,34,,,0,,8,2016-10-17 17:16:25.571093,2016-10-17 17:16:25.577454
129,20003128,寝室,XmehtnpJJM.jpg,123,34,一部壁に色を付け、吹き抜けに面して開口をもつ寝室,,0,,8,2016-10-17 17:16:25.584901,2016-10-17 17:16:25.592902
130,20003129,吹き抜け,H1kNUG2Q56.jpg,123,34,スキップフロアによる複雑な空間構成,,0,,8,2016-10-17 17:16:25.598911,2016-10-17 17:16:25.607648
131,20003130,ダイニングキッチン,aOKbV5Dpsg.jpg,123,34,吹き抜けのあるダイニング,,0,,8,2016-10-17 17:16:25.613656,2016-10-17 17:16:25.621028
132,20003131,階段,g7j798gmnz.jpg,123,34,木製階段,,0,,8,2016-10-17 17:16:25.628104,2016-10-17 17:16:25.634168
133,20003132,リビングからキッチンを見る,y45TlfWp37.jpg,123,34,スキップフロアの構成,,0,,8,2016-10-17 17:16:25.644153,2016-10-17 17:16:25.650841
134,20003133,リビング,ra07krunCh.jpg,123,34,遊び心のある登り綱があるリビング。,,0,,8,2016-10-17 17:16:25.658225,2016-10-17 17:16:25.665318
135,20003134,キッチンダイニング,GDCeyvIhvB.jpg,123,34,吹き抜けのあるダニング。スキップフロアで地面よりも下に床レベルがある。,,0,,8,2016-10-17 17:16:25.672526,2016-10-17 17:16:25.678509
136,20003135,リビング,9J7u9Ab1Nc.jpg,123,34,庭と連続するリビング,,0,,8,2016-10-17 17:16:25.685372,2016-10-17 17:16:25.692577
137,20003136,リビング,5Hzj1R9es7.jpg,123,34,薪ストーブのあるリビング,,0,,8,2016-10-17 17:16:25.698484,2016-10-17 17:16:25.707986
138,20003137,玄関ポーチ,PpxUTuJZTH.jpg,123,34,洗い出し仕上げの玄関ポーチ土間。,,0,,8,2016-10-17 17:16:25.714133,2016-10-17 17:16:25.726802
139,20003138,玄関,g0kqsGRd1F.jpg,123,34,モダンラスティックな雰囲気。MODERN RUSTIC,,0,,8,2016-10-17 17:16:25.734243,2016-10-17 17:16:25.741656
140,20003139,玄関,NRejiPdBYU.jpg,123,34,杉板を型枠にしたコンクリートの塀。,,0,,8,2016-10-17 17:16:25.751083,2016-10-17 17:16:25.757472
141,20003140,ファサード,oS4tWO6pY5.jpg,123,34,方行屋根の一部を切り取ったシンプルな外観,,0,,8,2016-10-17 17:16:25.764414,2016-10-17 17:16:25.772270
142,20004141,ウォークインクローゼット,4s53KDt9Yo.jpg,123,34,お店のようなクローゼット。,,0,,9,2016-10-17 17:16:25.778186,2016-10-17 17:16:25.785680
143,20004142,ウォークインクローゼット,JtpWhjYmR3.jpg,123,34,セックスアンドザシティーをイメージしてつくり込んだウォークインクローゼット。,,0,,9,2016-10-17 17:16:25.792696,2016-10-17 17:16:25.798701
144,20004143,書斎,A1ZhxpplVK.jpg,123,34,,,0,,9,2016-10-17 17:16:25.808196,2016-10-17 17:16:25.814530
145,20004144,書斎,6vdOU25y5H.jpg,123,34,あえて狭くした書斎。,,0,,9,2016-10-17 17:16:25.821602,2016-10-17 17:16:25.830081
146,20004145,キッチン,EEA8qh5d1G.jpg,123,34,ステンレスキッチン。アイランドキッチン。,,0,,9,2016-10-17 17:16:25.837072,2016-10-17 17:16:25.844432
147,20004146,ダイニング,qo7j1AxrtO.jpg,123,34,神棚もついています。イメージはジャパンモダンが好きな外国人の家。,,0,,9,2016-10-17 17:16:25.854053,2016-10-17 17:16:25.861414
148,20004147,リビング,CtQuXFL9Fj.jpg,123,34,照明器具が特徴,,0,,9,2016-10-17 17:16:25.868560,2016-10-17 17:16:25.874600
149,20004148,リビングダイニング,NTTDsdpSgg.jpg,123,34,,,0,,9,2016-10-17 17:16:25.882059,2016-10-17 17:16:25.889292
150,20004149,リビング,1auZt23DpF.jpg,123,34,アートを飾る壁を設置した空間,,0,,9,2016-10-17 17:16:25.896303,2016-10-17 17:16:25.902527
151,20005150,リビング,0GgzM9sLaw.jpg,123,34,,,0,,10,2016-10-17 17:16:25.911189,2016-10-17 17:16:25.918841
152,20005151,ダイニングキッチン,T8dBm6FaFn.jpg,123,34,,,0,,10,2016-10-17 17:16:25.926066,2016-10-17 17:16:25.933523
153,20005152,リビングダイニング,Wj8asGWVbD.jpg,123,34,,,0,,10,2016-10-17 17:16:25.941929,2016-10-17 17:16:25.952793
154,20005153,ファサード,1Sy6TTZ14E.jpg,123,34,,,0,,10,2016-10-17 17:16:25.958762,2016-10-17 17:16:25.966080
155,20005154,ファサード,WzHeS4OzIP.jpg,123,34,,,0,,10,2016-10-17 17:16:25.973154,2016-10-17 17:16:25.980493
156,20005155,ホビールーム,eue9xLsvHX.jpg,123,34,,,0,,10,2016-10-17 17:16:25.986417,2016-10-17 17:16:25.993644
157,20005156,ダイニングキッチン,aI50kS8bFV.jpg,123,34,,,0,,10,2016-10-17 17:16:26.001240,2016-10-17 17:16:26.010963
158,20005157,ファサード,SJhjmzGD1r.jpg,123,34,,,0,,10,2016-10-17 17:16:26.018377,2016-10-17 17:16:26.025775
159,30001158,外観,duFtdxGwvf.jpg,123,34,デッキ材を使った２階テラスの手摺の高さを高くして周囲から見えづらくしました。,,0,,11,2016-10-17 17:16:26.032724,2016-10-17 17:16:26.039297
160,30001159,2F_LDK,KHqdJYq06k.jpg,123,34,中央部分の白い壁に囲まれた部分は屋上にある窓から自然光を１階に落す為のライトウェル（光井戸）です。２階はこの白い壁で空間をおおらかに分けています。,,0,,11,2016-10-17 17:16:26.045430,2016-10-17 17:16:26.055273
161,30001160,2F_LDK,5n9tZgyoHn.jpg,123,34,床、天井にはラーチ合板を貼り、天井を撤去した後に出てきた梁と合わせて濃い茶色で染色しています。,,0,,11,2016-10-17 17:16:26.061902,2016-10-17 17:16:26.069450
