家ID,画像のタイトル,部屋の種別,部屋のスタイル,説明文,画像URL,画像Path
10002,キッチンからバルコニーを見る,キッチン,モダン,キッチンから半層上がった屋上バルコニーを見上げます。,https://cdn.suvaco.jp/rooms/73091/2ba4af2b54.jpg,2ba4af2b54.jpg
10002,壁に囲まれた屋上バルコニー,アウトドア,モダン,屋上バルコニーはリビングから半層上がった位置にあり、使いやすい位置にあります。また壁で囲まれているため、隣家の目がきにならず、子供達の様子もLDKから見届けられる安心できる場所です。,https://cdn.suvaco.jp/rooms/73093/z696bc3ce4.jpg,z696bc3ce4.jpg
10003,夜景外観,外観,モダン,,https://cdn.suvaco.jp/rooms/42178/34m6EO7H2a.jpg,34m6EO7H2a.jpg
10003,壁面本棚には子供達の本を,子供部屋,モダン,,https://cdn.suvaco.jp/rooms/42176/NFGFv34ac4.jpg,NFGFv34ac4.jpg
10003,子供室2,子供部屋,モダン,,https://cdn.suvaco.jp/rooms/42174/SV047GwyrQ.jpg,SV047GwyrQ.jpg
10003,子供室,子供部屋,モダン,,https://cdn.suvaco.jp/rooms/42172/Sh2As12e3b.jpg,Sh2As12e3b.jpg
10003,歯磨きコーナー,子供部屋,モダン,勉強カウンター奥にはトイレと歯磨き洗面台,https://cdn.suvaco.jp/rooms/42170/ePSPnoF80T.jpg,ePSPnoF80T.jpg
10003,勉強カウンター,子供部屋,モダン,3人の子供達の勉強机,https://cdn.suvaco.jp/rooms/42168/SPccFrrKke.jpg,SPccFrrKke.jpg
10003,家事室,その他,モダン,ものほしベランダに面した家事室。,https://cdn.suvaco.jp/rooms/42166/g8HbYsM28D.jpg,g8HbYsM28D.jpg
,,,,奥には洗濯機があり、カウンター下は子供達の洋服ハンガーがさがる。,,
,,,,カウンター上ではアイロンかけも。,,
10003,階段,その他,モダン,,https://cdn.suvaco.jp/rooms/42164/vEBxvPKBeK.jpg,vEBxvPKBeK.jpg
10003,中間階納戸,収納,モダン,,https://cdn.suvaco.jp/rooms/42162/GykPfe5TNt.jpg,GykPfe5TNt.jpg
10003,階段吹抜見下ろし,リビングダイニング,モダン,,https://cdn.suvaco.jp/rooms/42160/UXUQKB3GRQ.jpg,UXUQKB3GRQ.jpg
10003,キッチン,キッチン,モダン,アイランド式キッチン,https://cdn.suvaco.jp/rooms/42158/R82Rdd5pZF.jpg,R82Rdd5pZF.jpg
10003,階段横には登り棒,リビングダイニング,モダン,,https://cdn.suvaco.jp/rooms/42156/Ht9GUfEynB.jpg,Ht9GUfEynB.jpg
10003,LDK,リビングダイニング,モダン,アイランド式のキッチン,https://cdn.suvaco.jp/rooms/42154/XeVNHdVgN0.jpg,XeVNHdVgN0.jpg
10003,天井の高いリビング,リビングダイニング,モダン,天井高さは3.6m,https://cdn.suvaco.jp/rooms/42152/Kq05aebMzv.jpg,Kq05aebMzv.jpg
10003,階段吹抜,リビングダイニング,モダン,建物の中心を貫く吹抜戸階段。,https://cdn.suvaco.jp/rooms/42150/G8Zq6XD8Xi.jpg,G8Zq6XD8Xi.jpg
,,,,2階から南の光を1階へ落とす,,
10003,玄関土間,玄関,モダン,アトリエのボリュームの廻りをぐるりと廻ることができ向こう側は子供達用の散らせる玄関、写真側は大人の玄関,https://cdn.suvaco.jp/rooms/42148/FpPsh8zz5r.jpg,FpPsh8zz5r.jpg
10003,玄関とアトリエ,書斎,モダン,玄関を入ると大開口窓に面した布アトリエのスペース,https://cdn.suvaco.jp/rooms/42146/tHlJe6Bkkb.jpg,tHlJe6Bkkb.jpg
10003,ポーチ,玄関,モダン,,https://cdn.suvaco.jp/rooms/42144/2yKYYc2ZFB.jpg,2yKYYc2ZFB.jpg
10003,外観,外観,モダン,大窓のある外観,https://cdn.suvaco.jp/rooms/42140/5EMSi7iXR6.jpg,5EMSi7iXR6.jpg
10004,外観,外観,モダン,白いハコを組み合わせたようなシンプルな外観,https://cdn.suvaco.jp/rooms/25567/1nx5YkGjg4.jpg,1nx5YkGjg4.jpg
10004,外観,外観,モダン,,https://cdn.suvaco.jp/rooms/25565/naIyOCCILs.jpg,naIyOCCILs.jpg
10004,親世帯玄関アプローチ,外観,モダン,,https://cdn.suvaco.jp/rooms/25563/TpXnUWmsGv.jpg,TpXnUWmsGv.jpg
10004,親世帯玄関,外観,モダン,親世帯の居間です。,https://cdn.suvaco.jp/rooms/25561/B44BMAkVoE.jpg,B44BMAkVoE.jpg
,,,,,,
10004,親世帯居間,リビングダイニング,モダン,大きな窓は高めの配置として、外の通行人からは見えない高さに。,https://cdn.suvaco.jp/rooms/25559/tdaEU4T8Qj.jpg,tdaEU4T8Qj.jpg
,,,,桜の木を切り取って借景します。,,
,,,,親世帯の居間です。,https://cdn.suvaco.jp/rooms/25557/1juvZYxK9V.jpg,1juvZYxK9V.jpg
10004,親世帯居間,リビングダイニング,モダン,テレビのための収納を造作で作り付けました。,,
10004,母のキッチン,キッチン,モダン,母のキッチンはシンプルなi型です。,https://cdn.suvaco.jp/rooms/25555/eKZIwJ9NkX.jpg,eKZIwJ9NkX.jpg
,,,,居間と寝室の間に位置しています。,,
10004,親世帯寝室,ベッドルーム,モダン,左はサニタリー、右は収納。正面は押し入れと仏壇置き場です。,https://cdn.suvaco.jp/rooms/25553/4fbHTeeLps.jpg,4fbHTeeLps.jpg
10004,親世帯寝室,ベッドルーム,モダン,,https://cdn.suvaco.jp/rooms/25551/YxtGt2KanJ.jpg,YxtGt2KanJ.jpg
10004,子世帯の玄関,玄関,モダン,子世帯の玄関アプローチです。,https://cdn.suvaco.jp/rooms/25549/lxtMKrgAOe.jpg,lxtMKrgAOe.jpg
10004,子世帯玄関からの階段,その他,モダン,,https://cdn.suvaco.jp/rooms/25547/RrDD3xSads.jpg,RrDD3xSads.jpg
10004,廊下収納,収納,モダン,廊下のすべてを収納に壁面収納を設置。寝室の外にまとめて収納します。,https://cdn.suvaco.jp/rooms/25545/JfHWy4GlYT.jpg,JfHWy4GlYT.jpg
10004,ハーフユニットバスのサニタリー,バス/トイレ,モダン,ハーフユニットバスを利用した浴室。,https://cdn.suvaco.jp/rooms/25543/j0qdXuQmXo.jpg,j0qdXuQmXo.jpg
,,,,高窓を採用して換気性能を確保しました。,,
10004,子世帯サニタリー,バス/トイレ,モダン,,https://cdn.suvaco.jp/rooms/25541/tJMCUe6GAa.jpg,tJMCUe6GAa.jpg
10004,子世帯リビングへの階段,その他,モダン,白い階段を抜けると3階のリビングです。,https://cdn.suvaco.jp/rooms/25539/hicjnKNTcv.jpg,hicjnKNTcv.jpg
10004,ルーフバルコニーへの_がり,アウトドア,モダン,,https://cdn.suvaco.jp/rooms/25537/pgTX3Dptym.jpg,pgTX3Dptym.jpg
10004,ルーフバルコニー,アウトドア,モダン,桜のある広場を見下ろすルーフバルコニー,https://cdn.suvaco.jp/rooms/25535/wg8bruLm3D.jpg,wg8bruLm3D.jpg
10004,子世帯リビングダイニング,リビングダイニング,モダン,ハイサイドライト窓は隣家を見せずに空だけを切り取ります。,https://cdn.suvaco.jp/rooms/25533/JQ25xtvsIz.jpg,JQ25xtvsIz.jpg
10004,アイランド式のオーダーキッチン,キッチン,モダン,ダイニングテーブル一体式のアイランドキッチンです。,https://cdn.suvaco.jp/rooms/25531/dgxMJsqVXN.jpg,dgxMJsqVXN.jpg
10004,子世帯リビング夜景,リビングダイニング,モダン,間接照明のある子世帯リビング,https://cdn.suvaco.jp/rooms/25529/xzEblAUyR3.jpg,xzEblAUyR3.jpg
10005,外観,外観,モダン,白いハコ型の外観です。　,https://cdn.suvaco.jp/rooms/25524/puzsUDcvnO.jpg,puzsUDcvnO.jpg
,,,,コーディネート　ザ　ハウス,,
10005,アプローチ,外観,モダン,,https://cdn.suvaco.jp/rooms/25522/vzDMWJch8E.jpg,vzDMWJch8E.jpg
10005,仕事室,書斎,モダン,,https://cdn.suvaco.jp/rooms/25520/SwOb5dODai.jpg,SwOb5dODai.jpg
10005,仕事室,書斎,モダン,仕事室,https://cdn.suvaco.jp/rooms/25518/lU3q4JAJCn.jpg,lU3q4JAJCn.jpg
10005,仕事室,書斎,モダン,,https://cdn.suvaco.jp/rooms/25516/plhm5plps7.jpg,plhm5plps7.jpg
10005,玄関ホール,玄関,モダン,左の黒のドアが玄関ドア。右の開口をくぐって黒の箱の中に入ると寝室,https://cdn.suvaco.jp/rooms/25502/EbDWj0yRks.jpg,EbDWj0yRks.jpg
10005,洗面スペース,バス/トイレ,モダン,,https://cdn.suvaco.jp/rooms/25500/99GJ4wdDs1.jpg,99GJ4wdDs1.jpg
10005,サニタリー,バス/トイレ,モダン,黒の箱の裏側は置きバス式のサニタリー,https://cdn.suvaco.jp/rooms/25498/4vSJ0ATOBq.jpg,4vSJ0ATOBq.jpg
10005,寝室の外のサンルーム空間,ベッドルーム,モダン,寝室の開口と外壁窓の間には60センチほどの廊下があり、洗濯物干しや、隣家とのバッファゾーンの役割を負います。,https://cdn.suvaco.jp/rooms/25496/ICi7mByjTZ.jpg,ICi7mByjTZ.jpg
,,,,,,
,,,,正面黒のドアはトイレです。,,
10005,寝室からの借景,ベッドルーム,モダン,,https://cdn.suvaco.jp/rooms/25494/xfAVPtyWN1.jpg,xfAVPtyWN1.jpg
10005,寝室,ベッドルーム,モダン,生活時間のちがうご夫婦のために寝室の中は小さく2部屋に区切られています。,https://cdn.suvaco.jp/rooms/25492/BTEvH9N1xk.jpg,BTEvH9N1xk.jpg
10005,玄関から見上げ,玄関,モダン,玄関から見上げた階段の様子です。,https://cdn.suvaco.jp/rooms/25490/OgpJjqXirK.jpg,OgpJjqXirK.jpg
,,,,黒の箱と白い壁の隙間を階段としています。,,
10005,階段,その他,モダン,白と黒と深い木目の仕上げ。,https://cdn.suvaco.jp/rooms/25488/IfnzSD6ksL.jpg,IfnzSD6ksL.jpg
10005,2階ダイニング,リビングダイニング,モダン,床の隙間から1階の仕事室の上部を見通せます。,https://cdn.suvaco.jp/rooms/25486/sTTNuiknwv.jpg,sTTNuiknwv.jpg
,,,,どこにいても家中が感じられます。,,
10005,スキップフロアのダイニング,リビングダイニング,モダン,ダイニングの床は白のビニル床タイル貼り。数段上がったリビングの木目との違いをだしました。,https://cdn.suvaco.jp/rooms/25484/NEU20eY0Nj.jpg,NEU20eY0Nj.jpg
10005,スキップフロアのリビング,リビングダイニング,モダン,ダイニングから黒い階段を数段あがるとリビングです。,https://cdn.suvaco.jp/rooms/25476/6AlApwTebk.jpg,6AlApwTebk.jpg
10005,リビングとルーフバルコニー,リビングダイニング,モダン,ダイニングの上にはルーフバルコニーがあります。,https://cdn.suvaco.jp/rooms/25472/GwUoFOz72Y.jpg,GwUoFOz72Y.jpg
,,,,スキップフロアで上がったリビングからは半層上にバルコニーが見えます。,,
10005,ウオールナットの床のリビング,リビングダイニング,モダン,リビングの床はウオールナットのフローリング,https://cdn.suvaco.jp/rooms/25470/fTtPaiOEru.jpg,fTtPaiOEru.jpg
10005,透明床,リビングダイニング,モダン,1階からダイニングへ登り切った踊り場の床は透明なポリカーボネート板になっています。,https://cdn.suvaco.jp/rooms/25468/ngmTHDeory.jpg,ngmTHDeory.jpg
10005,キッチン,キッチン,モダン,キッチンは天板をステンレスとしたシンプルなオーダーキッチンです。,https://cdn.suvaco.jp/rooms/25464/rVzgPZt8F1.jpg,rVzgPZt8F1.jpg
20001,外観,リビングダイニング,ラグジュアリー,,https://cdn.suvaco.jp/rooms/104997/64fedabae8.jpg,64fedabae8.jpg
20001,夜景,外観,,,https://cdn.suvaco.jp/rooms/104995/79f483z8fc.jpg,79f483z8fc.jpg
20001,ダイニング夜景,リビングダイニング,ラグジュアリー,,https://cdn.suvaco.jp/rooms/104993/a79d316fd4.jpg,a79d316fd4.jpg
20001,寝室,ベッドルーム,アンティーク,,https://cdn.suvaco.jp/rooms/104991/zb67bfabeb.jpg,zb67bfabeb.jpg
20001,浴室,バス/トイレ,ラグジュアリー,,https://cdn.suvaco.jp/rooms/104989/c89z527958.jpg,c89z527958.jpg
20001,洗面所,バス/トイレ,モダン,,https://cdn.suvaco.jp/rooms/104987/1c564f64a2.jpg,1c564f64a2.jpg
20001,ダイニングキッチン,その他,モダン,,https://cdn.suvaco.jp/rooms/104985/ced63dfz5b.jpg,ced63dfz5b.jpg
20001,リビングダイニング,リビングダイニング,アンティーク,,https://cdn.suvaco.jp/rooms/104983/e6c2f9b93z.jpg,e6c2f9b93z.jpg
20001,リビングダイニング,リビングダイニング,モダン,,https://cdn.suvaco.jp/rooms/104981/3f8314d8fe.jpg,3f8314d8fe.jpg
20001,ダイニングキッチン,リビングダイニング,モダン,,https://cdn.suvaco.jp/rooms/104979/846fzbfe11.jpg,846fzbfe11.jpg
20001,リビングダイニング,リビングダイニング,ラグジュアリー,,https://cdn.suvaco.jp/rooms/104977/1zf9976a47.jpg,1zf9976a47.jpg
20001,キッチン,キッチン,モダン,,https://cdn.suvaco.jp/rooms/104975/776e7f94c5.jpg,776e7f94c5.jpg
20001,ダイニングキッチン,リビングダイニング,,,https://cdn.suvaco.jp/rooms/104973/fz5f2388a9.jpg,fz5f2388a9.jpg
20001,玄関,玄関,アンティーク,,https://cdn.suvaco.jp/rooms/104971/5ezaa1afz2.jpg,5ezaa1afz2.jpg
20001,玄関,玄関,モダン,,https://cdn.suvaco.jp/rooms/104969/6d4aad441e.jpg,6d4aad441e.jpg
20001,玄関,玄関,モダン,,https://cdn.suvaco.jp/rooms/104967/f6b12b2d8e.jpg,f6b12b2d8e.jpg
20001,ポーチ,外観,アンティーク,,https://cdn.suvaco.jp/rooms/104965/36z438d8bb.jpg,36z438d8bb.jpg
20001,外観,外観,,,https://cdn.suvaco.jp/rooms/104963/1z3b1cb4z8.jpg,1z3b1cb4z8.jpg
20001,外観,外観,モダン,,https://cdn.suvaco.jp/rooms/104961/54d75ce7z2.jpg,54d75ce7z2.jpg
20001,外観,外観,モダン,,https://cdn.suvaco.jp/rooms/104959/df8e479437.jpg,df8e479437.jpg
20002,リビング夜景,リビングダイニング,ラグジュアリー,アーティチョークが印象に残るリビングスペース。,https://cdn.suvaco.jp/rooms/59917/wnn6rrdCkM.jpg,wnn6rrdCkM.jpg
,,,,薪ストーブの熱を利用して、床暖房の温水が流れる仕組み。,,
20002,洗面浴室,バス/トイレ,ラグジュアリー,洗面と浴室の仕切りをガラスにして、広がりをもたせている。,https://cdn.suvaco.jp/rooms/59915/0lSU7Lk7mb.jpg,0lSU7Lk7mb.jpg
20002,書斎,書斎,ラグジュアリー,色を使いながらも落ち着いた雰囲気の書斎,https://cdn.suvaco.jp/rooms/59913/ahxtCoBbLL.jpg,ahxtCoBbLL.jpg
20002,キッチン,キッチン,ラグジュアリー,,https://cdn.suvaco.jp/rooms/59911/0cz437aTzh.jpg,0cz437aTzh.jpg
20002,ダイニングキッチン,リビングダイニング,ラグジュアリー,機能性に優れたキッチン収納,https://cdn.suvaco.jp/rooms/59909/A6ULTpZBRo.jpg,A6ULTpZBRo.jpg
20002,リビングダイニング,リビングダイニング,ラグジュアリー,,https://cdn.suvaco.jp/rooms/59907/IfikQ8ynaP.jpg,IfikQ8ynaP.jpg
,,,,玄関ドアは床材のチェリーに合わせた色に。,,
20002,玄関,玄関,ナチュラル,ドアの横には、ガラスを入れ採光を取り込んだ。,https://cdn.suvaco.jp/rooms/59904/ka4Rx5Pr7h.jpg,ka4Rx5Pr7h.jpg
20002,外観,外観,ナチュラル,浅間山を望むファサード,https://cdn.suvaco.jp/rooms/59902/W5bMveIrpo.jpg,W5bMveIrpo.jpg
20003,外観夜景,外観,モダン,,https://cdn.suvaco.jp/rooms/59900/81CAPew1gc.jpg,81CAPew1gc.jpg
20003,リビング夜景,リビングダイニング,ラグジュアリー,薪ストーブを見ながら至福の時を過ごす。,https://cdn.suvaco.jp/rooms/59898/LGwn0XT1rg.jpg,LGwn0XT1rg.jpg
20003,リビング,リビングダイニング,ラグジュアリー,間接照明でラグジュアリー感を出したリビング。,https://cdn.suvaco.jp/rooms/59896/OZPq2WWaFT.jpg,OZPq2WWaFT.jpg
20003,子供部屋,子供部屋,ナチュラル,子供部屋は天井の高さを利用して、ベッドをロフトのようにつくっている。またベッドには登り棒で登り、雲梯までついている。子供には楽しいスペース。,https://cdn.suvaco.jp/rooms/59894/AlsOCWb1FV.jpg,AlsOCWb1FV.jpg
20003,和室,その他,和,和室というより畳みスペース。,https://cdn.suvaco.jp/rooms/59892/0DBkrw1tn6.jpg,0DBkrw1tn6.jpg
,,,,吹き抜けでリビングとつながっている。,,
20003,吹き抜け,アンティーク,アンティーク,,https://cdn.suvaco.jp/rooms/59890/jUB36w8JWA.jpg,jUB36w8JWA.jpg
20003,寝室,ベッドルーム,アンティーク,一部壁に色を付け、吹き抜けに面して開口をもつ寝室,https://cdn.suvaco.jp/rooms/59888/XmehtnpJJM.jpg,XmehtnpJJM.jpg
20003,吹き抜け,その他,アンティーク,スキップフロアによる複雑な空間構成,https://cdn.suvaco.jp/rooms/59886/H1kNUG2Q56.jpg,H1kNUG2Q56.jpg
20003,ダイニングキッチン,キッチン,モダン,吹き抜けのあるダイニング,https://cdn.suvaco.jp/rooms/59884/aOKbV5Dpsg.jpg,aOKbV5Dpsg.jpg
20003,階段,リビングダイニング,モダン,木製階段,https://cdn.suvaco.jp/rooms/59882/g7j798gmnz.jpg,g7j798gmnz.jpg
20003,リビングからキッチンを見る,リビングダイニング,モダン,スキップフロアの構成,https://cdn.suvaco.jp/rooms/59880/y45TlfWp37.jpg,y45TlfWp37.jpg
20003,リビング,リビングダイニング,モダン,遊び心のある登り綱があるリビング。,https://cdn.suvaco.jp/rooms/59878/ra07krunCh.jpg,ra07krunCh.jpg
20003,キッチンダイニング,リビングダイニング,モダン,吹き抜けのあるダニング。スキップフロアで地面よりも下に床レベルがある。,https://cdn.suvaco.jp/rooms/59731/GDCeyvIhvB.jpg,GDCeyvIhvB.jpg
20003,リビング,リビングダイニング,ラグジュアリー,庭と連続するリビング,https://cdn.suvaco.jp/rooms/59729/9J7u9Ab1Nc.jpg,9J7u9Ab1Nc.jpg
20003,リビング,リビングダイニング,ラグジュアリー,薪ストーブのあるリビング,https://cdn.suvaco.jp/rooms/59727/5Hzj1R9es7.jpg,5Hzj1R9es7.jpg
20003,玄関ポーチ,玄関,アンティーク,洗い出し仕上げの玄関ポーチ土間。,https://cdn.suvaco.jp/rooms/59725/PpxUTuJZTH.jpg,PpxUTuJZTH.jpg
20003,玄関,玄関,アンティーク,モダンラスティックな雰囲気。MODERN RUSTIC,https://cdn.suvaco.jp/rooms/59723/g0kqsGRd1F.jpg,g0kqsGRd1F.jpg
20003,玄関,玄関,ラグジュアリー,杉板を型枠にしたコンクリートの塀。,https://cdn.suvaco.jp/rooms/59721/NRejiPdBYU.jpg,NRejiPdBYU.jpg
,,,,玄関ドアは木製で個性的に。,,
20003,ファサード,外観,モダン,方行屋根の一部を切り取ったシンプルな外観,https://cdn.suvaco.jp/rooms/59719/oS4tWO6pY5.jpg,oS4tWO6pY5.jpg
20004,ウォークインクローゼット,収納,ラグジュアリー,お店のようなクローゼット。,https://cdn.suvaco.jp/rooms/59713/4s53KDt9Yo.jpg,4s53KDt9Yo.jpg
,,,,ソファと照明、壁の色など全てがラグジュアリー！,,
20004,ウォークインクローゼット,収納,ラグジュアリー,セックスアンドザシティーをイメージしてつくり込んだウォークインクローゼット。,https://cdn.suvaco.jp/rooms/59711/JtpWhjYmR3.jpg,JtpWhjYmR3.jpg
20004,書斎,書斎,モダン,,https://cdn.suvaco.jp/rooms/59707/A1ZhxpplVK.jpg,A1ZhxpplVK.jpg
20004,書斎,書斎,モダン,あえて狭くした書斎。,https://cdn.suvaco.jp/rooms/59705/6vdOU25y5H.jpg,6vdOU25y5H.jpg
,,,,扉はなく、壁によって仕切られている。,,
20004,キッチン,キッチン,モダン,ステンレスキッチン。アイランドキッチン。,https://cdn.suvaco.jp/rooms/59695/EEA8qh5d1G.jpg,EEA8qh5d1G.jpg
20004,ダイニング,リビングダイニング,モダン,神棚もついています。イメージはジャパンモダンが好きな外国人の家。,https://cdn.suvaco.jp/rooms/59691/qo7j1AxrtO.jpg,qo7j1AxrtO.jpg
20004,リビング,リビングダイニング,モダン,照明器具が特徴,https://cdn.suvaco.jp/rooms/59687/CtQuXFL9Fj.jpg,CtQuXFL9Fj.jpg
20004,リビングダイニング,リビングダイニング,モダン,,https://cdn.suvaco.jp/rooms/59685/NTTDsdpSgg.jpg,NTTDsdpSgg.jpg
20004,リビング,リビングダイニング,モダン,アートを飾る壁を設置した空間,https://cdn.suvaco.jp/rooms/59683/1auZt23DpF.jpg,1auZt23DpF.jpg
20005,リビング,リビングダイニング,ナチュラル,,https://cdn.suvaco.jp/rooms/22278/0GgzM9sLaw.jpg,0GgzM9sLaw.jpg
20005,ダイニングキッチン,リビングダイニング,ナチュラル,,https://cdn.suvaco.jp/rooms/22276/T8dBm6FaFn.jpg,T8dBm6FaFn.jpg
20005,リビングダイニング,リビングダイニング,ナチュラル,,https://cdn.suvaco.jp/rooms/22274/Wj8asGWVbD.jpg,Wj8asGWVbD.jpg
