建築家ID,建築家名,家No,家ID（自動）,家の名前,費用,実施エリア,実施時期（年）,延床面積,内容,URL
2,NAOI,3,20003,方形屋根のいえ,,山形県酒田市,2014年,185平米,山形県酒田市に建つ住宅。,https://suvaco.jp/project/hougyou
,,,,,,,,,方形屋根のシンプルな形態ながら、床のレベルを変えることで様々な空間を作り出しています。忍者屋敷みたいな空間にしたいというクライアントの希望も満たされた遊び心のある住宅です。,
2,NAOI,4,20004,眺望のいえ,3000万円,神奈川県横浜市,2014年,90平米,横浜の高台に建つ、アート好きのクライアントのための住宅。,https://suvaco.jp/project/cyoubou
,,,,,,,,,コンセプトは、ニューヨークのロフトのような空間。,
,,,,,,,,,北側に抜ける景色を取り入れるため、大きな開口を設置。,
,,,,,,,,,直射日光は入らないが、北側の安定した光を取り入れて常に明るい状況を作り出しています。アートにも直射日光が入らないのはいいことです。,
2,NAOI,5,20005,「くの字」のいえ,,千葉県,2013年竣工,,夫婦ふたりと猫の住む住宅。「くの字」のプランが要望だった。クライアントは東南に開いたくの字をイメージしていたが、森の借景を活かすため、逆の「くの字」を提案した。視線が森に向くことで、大開口にも関わらず、向かい側の家や道路からの視線が気にならず、オープンでも周囲を気にせずくつろげる気持ちのいい空間になった。また、場に変化も生まれダイニングとリビングはワンルームでありながら、ちがった領域をつくっており、生活に奥行きをもたらしている。木製の引き戸を開けておくと2階全体はバルコニーのように開放的な空間となる。夜は木製のブラインドで視線をさえぎり、プライベートな時間をすごし、日中は風景を取り込みながらオープンに暮らす、メリハリのある生活スタイルをつくり出している。,https://suvaco.jp/project/s0Lj4lKxXm
3,安藤毅,1,30001,ヒカリノカタチ,2000万円,千葉県,2008,135平米,築30年の実家を改修した２世帯住宅です。,https://suvaco.jp/project/Hikarinokatachi
,,,,,,,,,木造在来工法の家を外壁はあまり変えず、内部は一度ほぼスケルトンにして改修しました。,
,,,,,,,,,1階は親世帯、小さい個室群だった２階は間仕切りを取り払い子世帯の住居としました。,
3,安藤毅,2,30002,F-house,2800万円,東京都,2010,116平米,敷地は都内の閑静な住宅街、夫婦と子供の為の住宅です。,https://suvaco.jp/project/F-house
,,,,,,,,,前面道路より半層ほど高い所にある敷地の段差を利用して地下１階地上２階の建物を作りました。半地下部分はRC造でガレージとバスルーム、ベッドルームを、上部は木造にしLDKスペースと個室を配置しました。,
3,安藤毅,3,30003,M-Loft,2000万円,東京都杉並区,2011,129平米,RC造、戸建ての2つのフロアーを全面改装したプロジェクトです。,https://suvaco.jp/project/M-Loft
,,,,,,,,,和室があったり細かく仕切られた間仕切りと一部床を取り払い、ロフトの様な開放的な部屋にしました。,
,,,,,,,,,,
,,,,,,,,,下階は広々と33畳のLDKスペースをつくり、さらにダイニングの上を吹抜けにしたので縦方向へのボリューム感もあり豊かな部屋になっています。対面式のオープンなキッチンからは２層に渡って全体を見渡すことができます。またバスルームはキッチンの背面収納の奥にあります。,
,,,,,,,,,,
,,,,,,,,,家族の気配を感じられる様にしたいという建て主様の要望により、中２階にオープンな子どものスタディー＆プレイスペースを配置し、LDKからも様子を眺めることができるようにしました。,
,,,,,,,,,,
,,,,,,,,,ダイニングの上に架かるブリッジの奥にベッドルームなどの個室を配置しています。ブリッジはガラス床を使用し、下階にいても圧迫感が無く存在が空間の広さを感じさせています。,
,,,,,,,,,,
,,,,,,,,,建て主様はル・コルビュジエのテーブル(LC6)やマリオ・ベリーニのイス（キャブ）などモダニズムの家具が好みで家具に合わせた内装仕上げにしました。,
3,安藤毅,4,30004,TN-house,6500万円,東京都,,187平米,敷地は都内の閑静な住宅地、平坦な敷地に夫婦と母の為の建てたRC造3階建ての２世帯住宅です。外装は杉貫板の型枠を縦に使ったコンクリート打放し仕上げとして彫刻的な力強い印象を作っています。,https://suvaco.jp/project/TN-house
,,,,,,,,,"水墨画の作家である母の作品を飾るエントランスホールを２世帯の共通エリアとして１階に親世帯、2,3階に子世帯を配置しています。親世帯は母の描く水墨画に合わせ、コンクリートの表情を生かした仕上げにしています。子世帯は中央に配置された階段ホールを中心に回遊性のあるプランで構成されています。",
3,安藤毅,5,30005,Arches,2000万円,東京都,2010,70平米,2棟長屋の一方をアトリエ＆サロン兼住宅としてリノベーションしたプロジェクト。,https://suvaco.jp/project/Arches
,,,,,,,,,開口部にアーチを使い、室内は微妙に違う8色のペールトーンの塗装で塗り分けています。アーチをくぐることで微妙に色の違う次の部屋へと移り、かすかに変化のある空間が展開していきます。,
4,古谷俊一,1,40001,運ぶ家,,東京都大田区大森町,2015年6月,142平米,昭和の趣を残す８ 棟の木造住宅を順次リノベーションして作りあげてきた大森ロッヂでは、路地を介した入居者間の緩やかなつながりをもつコミュニティが様々なイベントを通じて育まれてきました。,https://suvaco.jp/project/lMl1tOEqQR
,,,,,,,,,今回その敷地の一角に新築された店舗付き2 戸長屋「運ぶ家」は賃貸住宅建築の新しい仕組みにチャレンジしています。,
,,,,,,,,,賃貸でありながら入居者を先に決め、施主、設計者、入居者2 組の4 者により、入居者があたかも自宅を建てるのと同じようなプロセスを経て本プロジェクトは進められました。路面の飲食店舗および2階テラス空間が地域と繋がり、これまでの路地とも繋がります。新しく動き出す街の起点としてこの建築は設計されました。,
,,,,,,,,,,
,,,,,,,,,表面上の仕様のみを比較し、求める賃貸条件を満たす部屋を仲介業者を通じて探すという賃貸不動産の流通の現状では、住まいの本質的価値が語られる事はありません。 投資対象としての賃貸住宅、ハウスメーカーによる画一型賃貸住宅のあり方に疑問をもった私たちは、入居者とオーナーが企画段階から直接結びつくことで、理想の店舗兼用住宅を創り出したい。そういう思いが関係者で重なり開発を進めていく事となりました。,
,,,,,,,,,,
,,,,,,,,,運ぶ家は店舗、テラス、住居スペースと3 層に繋がる空間を２ つ並列させ、2 階のテラスで気配をつなげる設計としています。 既存の木造リノベーション住宅群のデザインテイストを踏襲すべく、準防火地域において燃え代設計を導入しテラス部分に露出させた1 5 0 角木柱よって、3 階住居スペースがお神輿状に持ち上げられる構成としています。,
,,,,,,,,,価値を発信する土台を1 階店舗スペース、2 階のテラス（ 空中路地） はデザインコンセプトである新しい風をロッヂ全体に吹通す風穴であると見立てています。,
,,,,,,,,,,
,,,,,,,,,運ぶ家はまた入居者の夢を叶える家でもあります。衣食住をテーマにした「y a m a m o t o s t o r e 」店主が手掛けるオリジナル製作鞄を展示。カフェスペースも作られます。「たぐい食堂」のご主人は古いものや民芸が好きで念願のおにぎり定食を出すお店をオープンします。各人の夢を運んで各々が成長する思いも込めて豊富な植栽を植え込みました。,
,,,,,,,,,,
,,,,,,,,,また付帯する中庭には5 . 4 m × 5 . 4 m （ 九間） のタタキを設え、通年のイベント、餅つき大会、夏祭り、新酒ワイン、ピザの会開催時に、 大勢の集まりに対応できるようにしています。,
4,古谷俊一,2,40002,巡る家,,東京都世田谷区,2014年7月,133平米,クライアント 個人オーナー,https://suvaco.jp/project/UB32aMWCi8
,,,,,,,,,用途 戸建て住宅（リノベーション）,
,,,,,,,,,構造 木造3階地下1階,
,,,,,,,,,敷地面積 84.29�F,
,,,,,,,,,建築面積 40.77�F,
,,,,,,,,,掲載誌 すまいの設計（2015年3-4月号）/　SUUMOリフォーム（首都圏版WINTER.2016）,
4,古谷俊一,3,40003,切り通しの家,,東京都渋谷区代々木,2013年4月,141平米,渋谷区代々木。代々木八幡に対面するこの家は、ベランダに立つとまるで軽井沢かどこかの森のなかに佇んでいる錯覚に陥ります。緑に包まれていることがこんなに気持ち良いなんて、とあらためて深呼吸をしたくなるほど。,https://suvaco.jp/project/yxCrSJykzE
,,,,,,,,,,
,,,,,,,,,道行く人が見上げねば家が目に入らない、最大高低差６.５mの敷地。かつては隣接する八幡神社と一体の敷地にあったこの地は、その後車道を作るために切り開いたことがきっかけで出来た、切り通しの上に位置しています。,
,,,,,,,,,,
,,,,,,,,,住みやすさや心地よさの他に、今回の主な命題はこの緑豊かな「借景」をどのように取り入れるかということでした。もともと二世帯住宅仕様で作られたこの建物は当初新築案も検討したましたが、充分リノベーション工事によって開放的な空間に成りうる可能性があり、既存建築が9.3m×7.5mのキューブ状のシンプルな構成であったことや既存植樹保存の観点からも、リノベーション案にてプランニングすることを決めました。,
,,,,,,,,,,
,,,,,,,,,もうひとつの大切な特徴となったのが、入り口の門扉です。大きな木製３枚引き戸の門扉は、オートロックで機能的にも優れているものとなりました。車通りに面している部分に無垢の木を使う扉というのは、防火の観点でなかなかゴーサインが出ない難しい意匠なのですが、建物だけでなく庭と周辺の環境を考えると、家の顔になるこの扉は手触りや表情がとても大切だったのでここはなんとか実現させたいと、頑張りました。,
5,井手孝太郎,1,50001,SRK,,東京都目黒区,2014年,176平米,,https://suvaco.jp/project/Ni7E1uYLPC
5,井手孝太郎,2,50002,003,,,,,,https://suvaco.jp/project/il1oVhgfWz
5,井手孝太郎,3,50003,002,,,,,,https://suvaco.jp/project/OCix34D2fq
5,井手孝太郎,4,50004,001,,,,,,https://suvaco.jp/project/IruAkCw35O
6,とりやまあきこ,1,60001,２人と２匹の家,,東京都稲城市,2011年夏完成,,延べ床２０坪の小さなお家です。,https://suvaco.jp/project/85X5KGFEl3
,,,,,,,,,広々した玄関タタキと２階リビングからは美しい景色、,
,,,,,,,,,収納や２ひきのための様々な工夫もポイントです。,
6,とりやまあきこ,2,60002,凸（でこ）の家,,茨城県つくば市,2011年春完成,,１階の上に２階がのっかった「凸」のような形のお家です。,https://suvaco.jp/project/wDwlz5aRZK
,,,,,,,,,リビングの古材梁が贅沢です。,
6,とりやまあきこ,3,60003,２つ屋根の家,,茨城県つくば市,2011年春完成,,こうのとりの翼のように優しく家族を包み込む２つの屋根を持つお家です。,https://suvaco.jp/project/h1vj9xDjpu
,,,,,,,,,見る角度によって全く違う表情を見せる金属の外観、明るいリビング、筑波山を望む書斎と広々バルコニー、おおらかな間取りの中にも楽しい工夫が盛りだくさんです。,
6,とりやまあきこ,4,60004,晴耕雨読の家,,茨城県つくば市,2010年夏完成,,晴れた日はお庭で畑を耕し、雨の日は家の中でのんびり過ごす。,https://suvaco.jp/project/N1dE0mC2fJ
,,,,,,,,,そんなご家族のためのお家です。,
,,,,,,,,,一見倉庫のような外観の建物に一歩足を踏み入れると、,
,,,,,,,,,つくばの景色を抱え込む明るくのびやかな空間が広がります。,
6,とりやまあきこ,5,60005,hitachino-ishizaki,,茨城県牛久市,2010年初夏完成,,田園風景を見渡す丘の上にオープンした、素敵なレストランです。,https://suvaco.jp/project/uZOzrD2y5G
,,,,,,,,,モダンな空間で本格的な日本料理を味わうことができます。,
,,,,,,,,,おいしい料理・美しい景色・すてきな建物がお待ちしております。,
7,安河内 健司/西岡 久実,1,70001,FU_PU（風布）　－素材感あふれる素の空間－,,,,,都内のマンション１室のフルリノベーションです。,https://suvaco.jp/project/xTHCdTzCBR
,,,,,,,,,,
,,,,,,,,,改修前は、複数の個室に細かく間仕切られていた為、風通しが悪く、特に北側の室は、日中でも薄暗い寒々しい空間でした。,
,,,,,,,,,そこで私たちは、不要な壁を全て取っ払い、南北に窓があるという、この室の最大の特徴を素直に活かしたオープンな空間を提案しました。南北に爽やかな風が走り抜ける、風の通り道のような空間です。,
,,,,,,,,,,
,,,,,,,,,コンクリート構造壁と水廻りスペースの間仕切壁以外、天井まで届く壁は設けていません。オープンな空間は、引戸や什器、布製パーティションなどによって適度に仕切られ、適度に繋がります。,
,,,,,,,,,,
,,,,,,,,,素材感あふれる空間をテーマに、炭入モルタル、コンクリートブロック、足場板、鉄粉の錆塗装、ブラックウォールナットの無垢フローリング、バイブレーション仕上げのステンレス板、ラワン合板などなど、個性あふれる素材を適材適所に使い分けています。また、コンクリートの構造体には敢えて塗装などの仕上げを施していません。一部、壁紙の下地であったモルタル壁に白いパテの痕も残りますが、これも味として敢えて残しています。,
,,,,,,,,,よい意味でざっくりとした簡素な間取りと、個性あふれる素材で構成した空間は、余計な飾りを必要としない「素の空間」となりました。,
,,,,,,,,,,
,,,,,,,,,クライアントの好きな「青」をテーマにオリジナルにデザインした柔らかいショールのような藍染めの「布の壁」は、視線を適度に制御するほか、ゆらぎ、ひらめくことで、風という見えない空気の流れを可視化し、癒しを与えます。,
7,安河内 健司/西岡 久実,2,70002,ナガヤネ　－長い屋根と土間の家－,,,,,広くて長い敷地の特徴をいかした平屋の住宅です。,https://suvaco.jp/project/wRfeDV7AwC
,,,,,,,,,タイトルにもなった長い１枚屋根があらゆる生活シーンをゆるやかに繋ぎます。,
,,,,,,,,,,
,,,,,,,,,設計を依頼された当初、この敷地は緑豊かな畑でした。近隣にとって、この敷地＝畑は癒しであり、通風や採光の面でも貴重な場であることが、容易に想像できました。この家の建築による近隣へのマイナスの影響を最小限に抑えること、自ずとこれが設計の重要なテーマとなりました。,
,,,,,,,,,,
,,,,,,,,,そこで、この敷地の「場の力」を損なうことなく、近隣に対する負の影響を最小限に抑え、かつ景観としても周囲に貢献すべく、建物高さを最小に抑えられる平屋で計画を進めることとしました。,
,,,,,,,,,,
,,,,,,,,,数多くの案を経た結果、敷地が細長い形状であったこともあり、全長約２０mの長い一枚屋根で様々な生活シーンを緩やかに繋ぐオープンでシンプルな平屋の家に辿り着きました。,
,,,,,,,,,,
,,,,,,,,,長手方向に諸室を並べ、それらを動線ともなる通り土間やクローゼットで繋いだだけの極めてシンプルなプランは、屋根の長さや空間の繋がりを一層強調し、風通しがよく、自由で、季節や時間帯によって異なる様々な生活シーンを柔軟に受け入れてくれます。,
,,,,,,,,,,
,,,,,,,,,使用した素材は、無垢の木材や漆喰など、安全かつ美しく歳を重ねる自然素材が中心です。炭入りモルタルで仕上げた土間スペースは、夏にはヒンヤリと周囲の温度を下げることで屋外からの風を促し、冬には直下に設置した低温水式床暖房の熱を蓄熱することで長時間にわたり程良い温度環境を保つなど、季節ごとにその特徴を発揮します。,
,,,,,,,,,,
,,,,,,,,,外構の塀を敷地境界より敢えて後退させ、かつ高さを抑えることで生まれたオープンな庭は、建築後も以前の畑のような癒しを近隣に与え続けています。,
7,安河内 健司/西岡 久実,3,70003,ミドリノイエ　－屋上に庭のある家－,,,,,４世代９人＋１匹が住まう２世帯住宅です。,https://suvaco.jp/project/Vi5GSBnfuW
,,,,,,,,,敷地は南と西の２方が道路に面した角地で、南側道路を介した向かいには道路に沿って緑道がつづきます。敷地の北東側には隣接する神社の大きな御神木もあり、郊外の住宅地のなかでも環境的に恵まれた敷地といえます。,
,,,,,,,,,,
,,,,,,,,,クライアントである子世帯（５人）と親世帯（４人）とで玄関のみを共有し、他の生活帯を上下階で完全に分離することがクライアントの要望でした。これをうけ、高齢者を含む親世帯を１階に、子世帯を２階に振り分けることから計画をスタートしました。恵まれた周囲の緑をいかに風景として取り込むか、前面道路からの視線をいかに防ぐか、高齢者や子供に優しい室内温度環境をいかに実現するかが大きなテーマとなりました。,
,,,,,,,,,,
,,,,,,,,,多くの案を経た結果、南側の建物高さを北側よりも低く抑え、その屋根の一部を天然芝で屋上緑化した小さな空中庭園とする案に至りました。,
,,,,,,,,,これにより、北側に配置した２階ダイニングキッチンなどからも空中庭園越しに緑道の樹々を眺めることができ、本来ならば難しい北側の室への通風や採光も可能となります。,
,,,,,,,,,屋上緑化は、日差しが最も厳しい南西部の屋根の遮熱性能を格段に向上させます。空調は屋根裏や床下空間を活用した全館空調とし、年中安定した温度環境を実現するほか、冬季には床暖房と同様の効果を発揮します。,
,,,,,,,,,,
,,,,,,,,,周囲の景観を最大限に取り込みつつ、前面道路からの視線を適度に排除した窓配置の工夫により、南の窓からは緑道の樹々や前庭に植えたシンボルツリーの緑が、東の窓からは御神木の緑が、随所に樹々の緑を感じられるミドリノイエです。,
8,黒崎敏,1,80001,SIGN,,東京都世田谷区,2013年5月,,システムエンジニアのご主人と看護師の奥様は共に30代。小さなお子さんと3人で暮らすために購入したのは、東京でも人気のあるエリア。間口が小さく奥行きの深いのコンパクトな敷地である。,https://suvaco.jp/project/5XPbiXPQGC
,,,,,,,,,,
,,,,,,,,,　 間口が小さい木造3階建ての住宅の場合、構造的な問題から一般的に駐車動線やエントランス動線を確保するのが難しい場合が多い。,
,,,,,,,,,　そこで今回は道路に面したエリアに2階バルコニーの手摺腰壁を兼用したエントランスゲートと耐力壁を兼用すことで構造的な問題を解決することができた。また、このゲートにより完全に閉じるのではなく、セミクローズドにすることによって道路面からエントランスまでのリズムや適切な距離（奥行き）を生み出すことができた。,
,,,,,,,,,,
,,,,,,,,,　 主寝室と一室空間のボディラウンジを併設してコンパクトにまとめた1階に対し、2階のファミリールームは大らかな吹き抜けを設けたワンルームとすることで上下階に適度なギャップを設けている。,
,,,,,,,,,　 モノトーンの建築フレームに対し、床材や 造作家具の素材をウォルナットで統一し、椅子などの置家具と調和を図ることでコンパクトな空間に緊張感や繊細な美意識を生み出しているのが特徴である。スチールの溶接によりシンプルに仕上げた跳ね出し階段の洗練された意匠や建築化照明によるドラマティックな雰囲気は、フルオーダーメイドならではの空気感と住み手の意図をつくりあげている。,
,,,,,,,,,,
,,,,,,,,,手前と奥に設けた外部空間は、コンパクトでありながらも、フルオープンが可能な建具にすることで内外がダイナミックに繋がる仕掛けとした。 3階の子供室空間には当面建具を設けず、フリールームにるすことで、2階はゆるやかに上階とつながる大空間に仕上がっている。,
,,,,,,,,,　 大胆さと繊細さを両立させること。それは、必然的に家族の距離が密接になる限られた小さな土地だからこそ、十分な意味を見いだせる設計手法であると言えるだろう。,
8,黒崎敏,2,80002,FLEUVE,,静岡県浜松市,竣工：2013年5月,,ヘアサロンオーナー兼スタイリストのご主人は浜松市内で注目のエリアの用地を購入し、奥様と小さなお子さんとの３人で新居を構えるにあたり新しいサロン併用の住宅を希望された。,https://suvaco.jp/project/IAvnbLaxnk
,,,,,,,,,,
,,,,,,,,,　スタイリスト自らがゲストに対し全ての工程をひとりでを行うという贅沢なお店である。そのため、サロン自体の大きさはあえて最小限とすることで、コンシャスな雰囲気を強め、その分自宅の比重を大きくすることが求められた。,
,,,,,,,,,,
,,,,,,,,,　 1階にはサロンの休憩控室を兼ねた空間を自宅エリアの緩衝帯となるように配置し、中央にシンボルツリーのあるエントランスコートを設けることで空間の求心性を高めることを意識。　また、茶道をたしなむ奥様のために坪庭付の和室も設え、サロンの落ち着いたおもてなしの空気感が住宅内部まで連続させている。,
,,,,,,,,,,
,,,,,,,,,　 ２階は階段ゾーンを境にファミリールームと 子供室が配置され、中間に設えたスタディゾーンが二つの空間を巧みに切り結んでいる。,
,,,,,,,,,サロンの上部空間を住宅のルーフ バルコニーとして使用することで内外の空間が連続する仕掛けで、大人数でパーティーなどを行うことも可能だ。,
,,,,,,,,,,
,,,,,,,,,　 開口部から眺められる中庭のシンボルツリーの他に、前面道路の街路樹や道路の対面の公園の緑が一体となることで絶妙の遠近感が生み出され、オリジナリティー溢れる景色が生み出すことができた。,
8,黒崎敏,3,80003,LATTICE,,東京都台東区,2013年3月,,ファサードが前面木製ルーバーで覆われたこの住宅は東京の東部に建つ単身者の住まい。間口が狭く、奥行きが深い鰻の寝床のような敷地に対し、大型車一台分のピロティガレージを確保するためにRC薄肉ラーメン構造を採用した。,https://suvaco.jp/project/dHvi1MkQic
,,,,,,,,,,
,,,,,,,,,中央を貫く折り返しのストリップ階段により手前と奥の空間が緩やかに繋がり、上階には吹き抜けを介したスキップフロアによる立体的な構成が浮かび上がる。ペントハウスの開口部から降り注ぐ光のシャワーが閉鎖的な都市空間の中に充満し、ブルータルな空間に深い陰影を刻んでいる。,
8,黒崎敏,4,80004,ARROW,,東京都品川区,2013年3月,,実家の敷地の一部を利用した住宅「ARROW」は下階の一部を写真スタジオとして使用し、玄関を設けた2階部分に夫婦と娘が生活する空間を設えた「SOHO」。分筆された敷地は間口が狭く奥行きが深い「鰻の寝床」であることから、母屋との距離感やコントラストを考慮しながらアプローチの奥行きを生かした外観デザインが求められた。�,https://suvaco.jp/project/v9AS8N7R2P
,,,,,,,,,,
,,,,,,,,,1階の写真スタジオ正面はガラス張りとし、オープンスタイルにすることで小空間でありながら外部と一体化した中間領域が心地良さを生み出している。2階玄関への緩やかな勾配のアプローチ階段はシャープな斜壁と程良く調和しながら特徴あるファサードを構成し、訪れる人々が自然に上階へと誘われる仕掛けとした。また北側斜線による勾配屋根が独特の内外観を生み出し、屋根の頂部に設けたスリット状の天窓からの光が白一色の室内にドラマティックな陰影をつくりあげている。遮るもののない天窓からの空の景色は、そこが住宅密集地であることを感じさせない効果もある。,
,,,,,,,,,,
,,,,,,,,,家族のプライベート空間を配した下階に対し、上階はおおらかな一室空間。梯子でアクセスするロフト空間も多目的に利用が可能。空間の随所に垣間見える「斜め」の要素がリズミカルに連続することで室内に心地よい緊張感が生まれている。様々な自然光と戯れられる住居空間は写真の撮影場所としても機能しておりオンオフの境界が存在しないのもこの住宅の特徴の一つと言えよう。,
8,黒崎敏,5,80005,ALLEY,,,竣工：2013年2月,,8年前に墨田区で設計・監理を行った「MINI」のクライアントが結婚し、東京スカイツリーにも程近い下町の風情が残る小さな敷地を購入した。今度は夫婦のための家をつくりたいとそのご主人より依頼を受け、記念すべきAPOLLO２棟目のプロジェクトがスタートした。,https://suvaco.jp/project/o93Sp25a1Q
,,,,,,,,,,
,,,,,,,,,　前回の「MINI」同様、袋小路の奥にある狭小敷地であることから、車両の通行や施工性を考慮した上で主体構造を木造としている。外壁には落ち着いたダークブラウン色のガルバリウム鋼板横葺を採用しているため、古い街並みにも違和感なく馴染んでいる。,
,,,,,,,,,,
,,,,,,,,,　前面道路側をあえてガラス張りにすることで、昼は外壁に馴染むモダンな風景に、夜は内部の木造表し天井やストリップ階段がライトアップされ、光の塔のごとくドラマティックに浮かび上がる仕組みとした。ファサードの大開口部に加えペントハウスに設けたスカイライトからも光のシャワーが降り注ぐため、室内は明るく、住宅密集地であることを感じさせることはない。,
,,,,,,,,,,
,,,,,,,,,　大きな木製引戸を開けると現れる広い玄関土間の先には、客間としても利用可能なコンパクトな空間を用意。上り框に腰かけてながら、土間との一体感を味わえる中間領域は、昔ながらの日本の生活空間を彷彿させるマルチパーパスな空間である。2階のファミリールームには椅子やソファを置かずあえて掘りごたつ式の座卓をメインに据え、そこからは東京スカイツリーが見上げることができる仕組みとした。築地で食材を仕入れるほど料理やお酒が大好きな御夫婦のために2人で本格的な仕込みのできるコの字型のオープンキッチンを用意。キッチンエリアと座卓エリアの間に段差を設けることで、小さなワンルームのなかに程良くアクセントを生みだしているのも特徴だ。夜は間接照明をメインとしたライトアップで昼とは異なる非日常の空間が浮かび上がる。普段から忙しいエンジニアのDINKS夫婦にとって、精神に充足を与える空間こそが求めていた家の姿なのかもしれない。,
9,山中祐一郎,1,90001,N house in Warabi 蕨の家,,,,,,https://suvaco.jp/project/yxax0tEVvC
9,山中祐一郎,2,90002,伊予三島の家,,,,,,https://suvaco.jp/project/eTTVsf4moO
